ticker,date,signal_price,signal_news,fundamental_signal,final_signal
AAPL,2025-06-02,hold,buy,Hold,buy
AAPL,2025-06-03,hold,buy,Hold,buy
AAPL,2025-06-04,hold,buy,Hold,buy
AAPL,2025-06-05,hold,buy,Hold,buy
AAPL,2025-06-06,hold,buy,Hold,buy
AAPL,2025-06-09,sell,buy,Hold,hold
AAPL,2025-06-10,buy,buy,Hold,buy
AAPL,2025-06-11,sell,buy,Hold,hold
AAPL,2025-06-12,hold,buy,Hold,buy
AAPL,2025-06-13,sell,buy,Hold,hold
AAPL,2025-06-16,buy,buy,Hold,buy
AAPL,2025-06-17,sell,buy,Hold,hold
AAPL,2025-06-18,buy,buy,Hold,buy
AAPL,2025-06-20,buy,buy,Hold,buy
AAPL,2025-06-23,hold,buy,Hold,buy
AAPL,2025-06-24,sell,buy,Hold,hold
AAPL,2025-06-25,buy,buy,Hold,buy
AAPL,2025-06-26,hold,buy,Hold,buy
AAPL,2025-06-27,hold,buy,Hold,buy
AAPL,2025-06-30,buy,buy,Hold,buy
AAPL,2025-07-01,buy,sell,Hold,hold
AAPL,2025-07-02,buy,sell,Hold,hold
AAPL,2025-07-03,buy,sell,Hold,hold
AAPL,2025-07-07,sell,sell,Hold,sell
AAPL,2025-07-08,hold,sell,Hold,sell
AAPL,2025-07-09,buy,sell,Hold,hold
AAPL,2025-07-10,buy,sell,Hold,hold
AAPL,2025-07-11,sell,sell,Hold,sell
AAPL,2025-07-14,sell,sell,Hold,sell
AAPL,2025-07-15,buy,sell,Hold,hold
AAPL,2025-07-16,buy,sell,Hold,hold
AAPL,2025-07-17,hold,sell,Hold,sell
AAPL,2025-07-18,buy,sell,Hold,hold
AAPL,2025-07-21,buy,buy,Hold,buy
AAPL,2025-07-22,buy,buy,Hold,buy
AAPL,2025-07-23,hold,buy,Hold,buy
AAPL,2025-07-24,sell,buy,Hold,hold
AAPL,2025-07-25,hold,buy,Hold,buy
AAPL,2025-07-28,hold,buy,Hold,buy
AAPL,2025-07-29,sell,buy,Hold,hold
AAPL,2025-07-30,sell,buy,Hold,hold
AAPL,2025-07-31,sell,buy,Hold,hold
AAPL,2025-08-01,sell,buy,Hold,hold
AAPL,2025-08-04,buy,sell,Hold,hold
AAPL,2025-08-05,hold,sell,Hold,sell
AAPL,2025-08-06,buy,sell,Hold,hold
AAPL,2025-08-07,buy,sell,Hold,hold
AAPL,2025-08-08,buy,sell,Hold,hold
AAPL,2025-08-11,hold,sell,Hold,sell
