ticker,open,close,high,low,volume,time,time_milliseconds
AAPL,200.28,201.7,202.13,200.12,35423294,2025-06-02T04:00:00Z,1748836800000
AAPL,201.35,203.27,203.77,200.96,46381567,2025-06-03T04:00:00Z,1748923200000
AAPL,202.91,202.82,206.24,202.1,43603985,2025-06-04T04:00:00Z,1749009600000
AAPL,203.5,200.63,204.75,200.15,55221235,2025-06-05T04:00:00Z,1749096000000
AAPL,203.0,203.92,205.7,202.05,46607693,2025-06-06T04:00:00Z,1749182400000
AAPL,204.39,201.45,206.0,200.02,72862557,2025-06-09T04:00:00Z,1749441600000
AAPL,200.6,202.67,204.35,200.57,54672608,2025-06-10T04:00:00Z,1749528000000
AAPL,203.5,198.78,204.5,198.41,60989857,2025-06-11T04:00:00Z,1749614400000
AAPL,199.08,199.2,199.68,197.36,43904635,2025-06-12T04:00:00Z,1749700800000
AAPL,199.73,196.45,200.37,195.7,51447349,2025-06-13T04:00:00Z,1749787200000
AAPL,197.3,198.42,198.69,196.56,43020691,2025-06-16T04:00:00Z,1750046400000
AAPL,197.2,195.64,198.39,195.21,38856152,2025-06-17T04:00:00Z,1750132800000
AAPL,195.94,196.58,197.57,195.07,45394689,2025-06-18T04:00:00Z,1750219200000
AAPL,198.24,201.0,201.7,196.85,96813542,2025-06-20T04:00:00Z,1750392000000
AAPL,201.62,201.5,202.3,198.96,55814272,2025-06-23T04:00:00Z,1750651200000
AAPL,202.59,200.3,203.44,200.2,54064033,2025-06-24T04:00:00Z,1750737600000
AAPL,201.45,201.56,203.67,200.62,39525730,2025-06-25T04:00:00Z,1750824000000
AAPL,201.43,201.0,202.64,199.46,50799121,2025-06-26T04:00:00Z,1750910400000
AAPL,201.89,201.08,203.22,200.0,73188571,2025-06-27T04:00:00Z,1750996800000
AAPL,202.01,205.17,207.39,199.26,91912816,2025-06-30T04:00:00Z,1751256000000
AAPL,206.66,207.82,210.19,206.14,78788867,2025-07-01T04:00:00Z,1751342400000
AAPL,208.91,212.44,213.34,208.14,67941811,2025-07-02T04:00:00Z,1751428800000
AAPL,212.15,213.55,214.65,211.81,34954599,2025-07-03T04:00:00Z,1751515200000
AAPL,212.68,209.95,216.23,208.8,50228984,2025-07-07T04:00:00Z,1751860800000
AAPL,210.1,210.01,211.43,208.45,42848928,2025-07-08T04:00:00Z,1751947200000
AAPL,209.53,211.14,211.33,207.22,48749367,2025-07-09T04:00:00Z,1752033600000
AAPL,210.5,212.41,213.48,210.03,44443635,2025-07-10T04:00:00Z,1752120000000
AAPL,210.56,211.16,212.13,209.86,39765812,2025-07-11T04:00:00Z,1752206400000
AAPL,209.93,208.62,210.91,207.54,38840111,2025-07-14T04:00:00Z,1752465600000
AAPL,209.22,209.11,211.89,208.92,42296339,2025-07-15T04:00:00Z,1752552000000
AAPL,210.29,210.16,212.4,208.64,47490532,2025-07-16T04:00:00Z,1752638400000
AAPL,210.57,210.02,211.8,209.59,48068141,2025-07-17T04:00:00Z,1752724800000
AAPL,210.87,211.18,211.79,209.7,48974591,2025-07-18T04:00:00Z,1752811200000
AAPL,212.1,212.48,215.78,211.63,51377434,2025-07-21T04:00:00Z,1753070400000
AAPL,213.14,214.4,214.95,212.23,46404072,2025-07-22T04:00:00Z,1753156800000
AAPL,215.0,214.15,215.15,212.41,46989301,2025-07-23T04:00:00Z,1753243200000
AAPL,213.9,213.76,215.69,213.53,46022620,2025-07-24T04:00:00Z,1753329600000
AAPL,214.7,213.88,215.24,213.4,40268781,2025-07-25T04:00:00Z,1753416000000
AAPL,214.03,214.05,214.84,213.06,37858017,2025-07-28T04:00:00Z,1753675200000
AAPL,214.18,211.27,214.81,210.82,51411723,2025-07-29T04:00:00Z,1753761600000
AAPL,211.9,209.05,212.39,207.72,45512514,2025-07-30T04:00:00Z,1753848000000
AAPL,208.49,207.57,209.84,207.16,80698431,2025-07-31T04:00:00Z,1753934400000
AAPL,210.87,202.38,213.58,201.5,104434473,2025-08-01T04:00:00Z,1754020800000
AAPL,204.5,203.35,207.88,201.68,75109298,2025-08-04T04:00:00Z,1754280000000
AAPL,203.4,202.92,205.34,202.16,44155079,2025-08-05T04:00:00Z,1754366400000
